"BiocVersion","SourceVersion","Coordinate_1_based","Species","TaxonomyId","SourceVersion.1","Genome","SourceUrl","DataProvider","Title","Description","SourceType","RDataClass","DispatchClass","RDataPath","Tags"
"3.14",NA,TRUE,"Papio cynocephalus","9556",2021-08-21 14:18:39,NA,"https://science.sciencemag.org/content/373/6551/181","University of Minnesota","Grieneisen Baboon counts data set","Count matrix for the Grieneisen Baboon dataset","Rds","matrix","Rds","microbiomeDataSets/3.14/baboon-ts/counts.rds","NAMicrobiome:NAMicrobiome:NAMicrobiome:NAMicrobiome:NAMicrobiome"
"3.14",NA,TRUE,"Papio cynocephalus","9556",2021-08-21 14:18:39,NA,"https://science.sciencemag.org/content/373/6551/181","University of Minnesota","Grieneisen Baboon row data set","Taxonomy table for the Grieneisen Baboon dataset","Rds","DFrame","Rds","microbiomeDataSets/3.14/baboon-ts/rowdata.rds","NAMicrobiome:NAMicrobiome:NAMicrobiome:NAMicrobiome:NAMicrobiome"
"3.14",NA,TRUE,"Papio cynocephalus","9556",2021-08-21 14:18:39,NA,"https://science.sciencemag.org/content/373/6551/181","University of Minnesota","Grieneisen Baboon phylogenetic tree data set","Phylogenetic tree for the Grieneisen Baboon dataset","TXT","character","FilePath","microbiomeDataSets/3.14/baboon-ts/rowtree.tre.gz","NAMicrobiome:NAMicrobiome:NAMicrobiome:NAMicrobiome:NAMicrobiome"
"3.14",NA,TRUE,"Papio cynocephalus","9556",2021-08-21 14:18:39,NA,"https://science.sciencemag.org/content/373/6551/181","University of Minnesota","Grieneisen Baboon sample data set","Sample information for the Grieneisen Baboon dataset","CSV","Dframe","Rds","microbiomeDataSets/3.14/baboon-ts/coldata.rds","NAMicrobiome:NAMicrobiome:NAMicrobiome:NAMicrobiome:NAMicrobiome"
"3.14",NA,TRUE,"Papio cynocephalus","9556",2021-08-21 14:18:39,NA,"https://science.sciencemag.org/content/373/6551/181","University of Minnesota","Grieneisen Baboon sequence data set","Sequence data for the Grieneisen Baboon dataset","TXT","character","FilePath","microbiomeDataSets/3.14/baboon-ts/refseq.fasta.gz","NAMicrobiome:NAMicrobiome:NAMicrobiome:NAMicrobiome:NAMicrobiome"
